"total_features"	"total_counts"	"pc_mito"
2154	6401	0
2040	6117	0
1228	2432	0
841	1249	0
987	1809	0
1812	4594	0
1691	4236	0
2209	7344	0
1475	3178	0
1121	1911	0
1480	3059	0
1719	4106	0
1679	3845	0
1908	5257	0
1707	4649	0
2078	5883	0
2157	6412	0
1559	3057	0
1701	3948	0
1759	4443	0
1079	1922	0
1021	1796	0
1704	4291	0
1764	5164	0
2702	12653	0
840	1379	0
1288	2550	0
2005	5400	0
1981	5294	0
815	1185	0
2200	6285	0
1795	4709	0
1545	3345	0
1510	3610	0
1750	4396	0
1899	5492	0
1701	4325	0
1219	2405	0
1506	3121	0
1150	1960	0
1297	2617	0
1733	3981	0
1114	1875	0
1578	3739	0
2190	7102	0
2042	6370	0
1278	2599	0
1544	3405	0
1481	3355	0
1976	5266	0
2075	6043	0
1862	5093	0
1669	4105	0
1903	5563	0
1362	2702	0
547	708	0
2044	6253	0
1147	2188	0
1803	4442	0
1621	3925	0
2176	6331	0
1576	3532	0
853	1301	0
1830	4990	0
1539	3697	0
2184	6882	0
1699	4078	0
1328	2526	0
2181	7223	0
1051	2148	0
1433	3074	0
1272	2545	0
1938	4828	0
1888	4665	0
1792	4438	0
1584	4116	0
1878	5339	0
1995	6055	0
1441	3034	0
1142	1995	0
1406	2801	0
1650	4181	0
1662	4076	0
2253	7156	0
2492	9940	0
2538	9310	0
1584	3634	0
2061	5905	0
1835	5299	0
1239	2360	0
1452	3123	0
926	1650	0
1794	4951	0
1675	3817	0
2142	6665	0
1140	2295	0
2360	7948	0
1637	3849	0
1921	5313	0
1722	4286	0
1532	3537	0
1444	2780	0
1788	4828	0
1556	4006	0
803	1352	0
1086	1778	0
1641	3595	0
1766	4277	0
2351	8807	0
1402	2835	0
1858	4705	0
1141	2008	0
2195	7839	0
839	1538	0
1778	4652	0
1907	5408	0
824	1229	0
2405	11244	0
2007	5820	0
2176	6872	0
2208	6827	0
934	1594	0
1702	4222	0
2087	5744	0
1634	3560	0
1761	4868	0
1524	3464	0
1325	2384	0
2095	6302	0
1059	1928	0
1784	4763	0
1355	2973	0
1959	5590	0
1893	5199	0
1617	4084	0
1202	2189	0
1114	2205	0
773	1284	0
1334	2629	0
1967	5880	0
2118	6316	0
967	1695	0
1856	5082	0
1934	5472	0
2503	9161	0
1258	2490	0
1328	2815	0
1509	3586	0
1931	5467	0
826	1262	0
1676	4222	0
1170	2297	0
834	1266	0
1483	3367	0
1471	3550	0
1212	2088	0
2229	7186	0
1972	5381	0
1659	3947	0
1802	4471	0
2100	6388	0
1672	3726	0
2246	7555	0
1606	3956	0
2116	5897	0
1675	3848	0
1544	3442	0
2237	8249	0
2201	6426	0
2215	6812	0
1998	5208	0
1737	4552	0
1549	3489	0
1698	4031	0
340	817	0
272	585	0
445	1081	0
405	801	0
472	1260	0
367	703	0
452	1063	0
511	1347	0
632	1662	0
517	1447	0
286	723	0
369	723	0
278	535	0
335	720	0
357	922	0
337	711	0
503	1456	0
177	423	0
439	1143	0
987	2845	0
1007	3082	0
1239	4406	0
811	1836	0
955	2926	0
1605	7266	0
1301	4256	0
1089	3759	0
920	2664	0
734	1678	0
804	1985	0
851	2091	0
715	1679	0
1321	4245	0
638	1896	0
780	2182	0
971	2912	0
695	1530	0
1103	3346	0
808	2383	0
688	1943	0
1282	3930	0
949	2598	0
677	1854	0
778	2011	0
1339	4832	0
884	2466	0
1025	3259	0
878	2281	0
